listing_id,make,segment,model_year,vehicle_age,mileage,transmission,fuel_type,engine_size,province,service_history,previous_owners,accident_history,warranty_months,seller_type,colour
SA02004,Nissan,Luxury,2023,3,16000,Automatic,Diesel,2.3,Western Cape,Partial,4,No,33,Dealership,White
SA00915,Toyota,Bakkie,2019,7,104000,Manual,Diesel,2.8,Gauteng,Partial,2,No,0,Dealership,Grey
SA00374,Hyundai,Luxury,2015,11,226500,Automatic,Petrol,2.5,Free State,Full,4,No,0,Private,Grey
SA02276,Kia,Hatchback,2013,13,161500,Manual,Petrol,1.6,Gauteng,Full,3,No,0,Dealership,Blue
SA01261,Volkswagen,Bakkie,2024,2,6500,Automatic,Diesel,2.5,Eastern Cape,Full,1,No,40,Dealership,Silver
SA00644,Ford,Hatchback,2020,6,48000,Manual,Petrol,1.7,Mpumalanga,Partial,2,No,6,Dealership,Silver
SA02246,Isuzu,Hatchback,2011,15,104500,Manual,Petrol,1.5,Western Cape,Full,4,No,0,Private,Silver
SA02256,Suzuki,Sedan,2022,4,67000,Automatic,Petrol,1.8,North West,Partial,2,No,20,Private,Black
SA00388,Volkswagen,Hatchback,2024,2,94500,Automatic,Diesel,1.9,Western Cape,Partial,3,No,42,Dealership,White
SA00640,Hyundai,Bakkie,2014,12,172000,Manual,Diesel,3,Gauteng,Partial,3,No,0,Private,Black
SA00234,Volkswagen,SUV,2019,7,236500,Automatic,Petrol,2.2,KwaZulu-Natal,Full,4,No,0,Dealership,Silver
SA01341,Audi,Hatchback,2015,11,211000,Manual,Petrol,1.3,KwaZulu-Natal,Full,4,No,0,Private,Black
SA00059,Ford,SUV,2020,6,109500,Automatic,Diesel,2.7,Western Cape,Full,2,No,0,Dealership,White
SA00791,Volkswagen,Hatchback,2023,3,44500,Manual,Petrol,1.5,Western Cape,Partial,2,No,35,Dealership,Other
SA02215,Suzuki,Sedan,2016,10,80500,Manual,Petrol,2.3,KwaZulu-Natal,Full,3,No,0,Dealership,Red
SA00180,Ford,SUV,2020,6,15500,Automatic,Petrol,2.2,Gauteng,Full,4,No,0,Dealership,Red
SA01419,Hyundai,Hatchback,2011,15,89000,Automatic,Petrol,1.7,Western Cape,Full,5,No,0,Dealership,Grey
SA01774,BMW,Luxury,2017,9,92000,Automatic,Petrol,2.3,Western Cape,Partial,4,No,0,Private,Grey
SA02239,Audi,Bakkie,2023,3,25500,Automatic,Diesel,2.2,Gauteng,Partial,1,No,24,Private,Grey
SA01368,Toyota,Bakkie,2023,3,56500,Automatic,Petrol,2.5,KwaZulu-Natal,Full,2,No,44,Dealership,Black
SA00250,Nissan,Sedan,2022,4,95500,Automatic,Petrol,2.3,Gauteng,None,2,No,28,Dealership,Black
SA02211,Toyota,Sedan,2012,14,192500,Manual,Hybrid,1.4,Western Cape,Full,5,No,0,Dealership,White
SA01255,Volkswagen,Hatchback,2011,15,145000,Automatic,Petrol,1.5,Western Cape,Partial,4,No,0,Private,Red
SA00176,Renault,Hatchback,2009,17,195500,Automatic,Petrol,1.6,KwaZulu-Natal,Partial,3,No,0,Dealership,Black
SA01120,Toyota,Bakkie,2021,5,175500,Manual,Petrol,2.8,Gauteng,Partial,2,No,7,Private,White
SA00943,BMW,Luxury,2014,12,189500,Automatic,Petrol,2.4,Mpumalanga,Full,4,No,0,Private,Blue
SA01381,Volkswagen,Hatchback,2017,9,172500,Manual,Petrol,0.9,Gauteng,Partial,4,No,0,Dealership,Blue
SA01216,Volkswagen,Hatchback,2017,9,86000,Manual,Petrol,0.9,Eastern Cape,Full,3,No,0,Private,Red
SA01548,Volkswagen,Bakkie,2016,10,188500,Manual,Diesel,2.4,Gauteng,Partial,3,No,0,Dealership,Red
SA00251,Ford,Sedan,2020,6,53000,Automatic,Petrol,1.7,Eastern Cape,Full,2,No,2,Private,Grey
SA00090,Toyota,Hatchback,2023,3,29000,Manual,Petrol,1,KwaZulu-Natal,Partial,2,No,42,Private,White
SA00594,Nissan,SUV,2021,5,120000,Automatic,Diesel,2.3,Mpumalanga,Full,2,No,5,Dealership,Other
SA01319,Volkswagen,Sedan,2017,9,50500,Automatic,Petrol,1.9,Gauteng,Full,4,No,0,Dealership,Grey
SA00289,Ford,Hatchback,2019,7,107000,Manual,Diesel,1.9,Gauteng,Full,3,No,0,Private,White
SA02205,Kia,SUV,2011,15,149500,Manual,Petrol,2.1,KwaZulu-Natal,Partial,5,Yes,0,Dealership,Black
SA01816,Volkswagen,Bakkie,2022,4,102000,Automatic,Diesel,2.7,Mpumalanga,Partial,1,No,30,Dealership,White
SA01834,Hyundai,SUV,2012,14,290000,Automatic,Diesel,2.2,KwaZulu-Natal,Full,4,No,0,Dealership,White
SA01246,Toyota,Luxury,2014,12,310000,Manual,Diesel,3.2,Gauteng,Full,4,No,0,Dealership,Grey
SA00786,BMW,Luxury,2024,2,7000,Automatic,Diesel,2.7,Gauteng,Full,1,No,39,Private,White
SA01174,Nissan,Sedan,2021,5,41500,Manual,Petrol,1.5,Western Cape,None,1,Yes,25,Private,White
SA00457,Volkswagen,Sedan,2020,6,33500,Automatic,Petrol,2.3,Gauteng,Full,2,No,0,Private,Other
SA02040,Ford,SUV,2014,12,232500,Automatic,Diesel,2.5,Western Cape,Partial,3,No,0,Dealership,Grey
SA01888,Hyundai,Hatchback,2013,13,316000,Automatic,Hybrid,1.1,Gauteng,Full,3,No,0,Private,White
SA00076,Toyota,SUV,2022,4,93000,Manual,Petrol,2.5,Gauteng,None,1,No,34,Private,Silver
SA00645,BMW,Luxury,2012,14,139000,Automatic,Petrol,2.5,Free State,Full,4,No,0,Dealership,Grey
SA00474,Toyota,SUV,2011,15,329000,Automatic,Diesel,2.1,Mpumalanga,Partial,4,No,0,Private,Silver
SA01783,Volkswagen,Hatchback,2022,4,4500,Manual,Petrol,1.2,North West,Partial,2,No,16,Dealership,White
SA00169,Audi,Sedan,2019,7,158500,Automatic,Petrol,2,Mpumalanga,Full,3,No,0,Dealership,Grey
SA01737,Volkswagen,Hatchback,2023,3,66000,Manual,Diesel,1.6,Mpumalanga,Partial,3,No,25,Private,Black
SA00167,Renault,Bakkie,2016,10,141500,Automatic,Diesel,2.7,Gauteng,Full,2,Yes,0,Dealership,Red
SA00874,Volkswagen,Hatchback,2010,16,103500,Manual,Petrol,1.3,Gauteng,Full,4,No,0,Dealership,Silver
SA00993,Volkswagen,Luxury,2018,8,38000,Manual,Diesel,2.4,Northern Cape,Full,3,No,0,Dealership,Blue
SA00603,Volkswagen,Sedan,2019,7,151500,Automatic,Petrol,1.8,Eastern Cape,Partial,3,No,0,Dealership,Silver
SA01689,Hyundai,SUV,2016,10,101500,Manual,Diesel,2.6,Gauteng,Full,2,No,0,Private,White
SA00239,Toyota,Hatchback,2021,5,75500,Manual,Petrol,1.3,Gauteng,Full,2,No,14,Dealership,White
SA01775,Suzuki,SUV,2019,7,7500,Manual,Petrol,1.8,Western Cape,Partial,3,No,0,Private,White
SA00577,Volkswagen,Luxury,2024,2,2500,Automatic,Petrol,2.3,Eastern Cape,Full,2,No,39,Dealership,Black
SA00704,Mercedes-Benz,SUV,2018,8,128000,Automatic,Petrol,2.2,Gauteng,Full,4,No,0,Dealership,White
SA01439,Hyundai,Luxury,2022,4,6500,Automatic,Petrol,2.9,Gauteng,Full,3,No,33,Private,Blue
SA01630,Kia,SUV,2017,9,80500,Automatic,Petrol,2.1,Gauteng,Partial,3,No,0,Dealership,Silver
SA01276,Hyundai,Bakkie,2007,19,350000,Manual,Petrol,2.2,Gauteng,Partial,4,No,0,Dealership,White
SA00120,Toyota,Bakkie,2021,5,42000,Manual,Diesel,2.6,Western Cape,Full,3,No,13,Dealership,Red
SA00647,Ford,Luxury,2020,6,70500,Automatic,Petrol,2.3,KwaZulu-Natal,None,3,No,17,Private,Silver
SA00143,Ford,Hatchback,2019,7,92000,Automatic,Petrol,1.2,Gauteng,Partial,3,No,0,Dealership,White
SA00920,Kia,SUV,2022,4,108500,Automatic,Diesel,2,North West,Partial,1,No,39,Dealership,Other
SA01134,Suzuki,Sedan,2020,6,95500,Automatic,Petrol,2.3,KwaZulu-Natal,Partial,3,No,0,Dealership,Silver
SA01231,Kia,SUV,2014,12,188000,Automatic,Petrol,2.3,Gauteng,Full,4,No,0,Dealership,Black
SA01709,Suzuki,Hatchback,2024,2,2500,Automatic,Petrol,1.4,Limpopo,Partial,1,No,30,Dealership,Black
SA01886,Suzuki,Bakkie,2017,9,214000,Manual,Hybrid,2.6,Gauteng,Full,3,No,0,Dealership,Grey
SA02351,Ford,Hatchback,2013,13,112500,Manual,Diesel,1.1,Western Cape,Partial,4,No,0,Private,Red
SA01405,Hyundai,SUV,2024,2,19000,Automatic,Petrol,2.4,Western Cape,Partial,1,No,54,Private,White
SA00781,Nissan,SUV,2023,3,65000,Manual,Diesel,2.1,Western Cape,Partial,2,No,29,Dealership,Red
SA00432,BMW,Luxury,2014,12,214000,Automatic,Petrol,2.8,Mpumalanga,Full,3,No,0,Dealership,White
SA00117,Toyota,Sedan,2021,5,137500,Automatic,Petrol,2.1,Northern Cape,Full,2,No,1,Dealership,Silver
SA00017,Volkswagen,Sedan,2014,12,350000,Manual,Petrol,1.9,Western Cape,Full,3,No,0,Private,Red
SA01351,Toyota,Luxury,2022,4,7000,Automatic,Petrol,2.3,Mpumalanga,Full,3,No,24,Private,Red
SA01331,Volkswagen,Hatchback,2018,8,57000,Automatic,Petrol,2.1,Western Cape,Full,4,No,0,Dealership,White
SA00795,Toyota,Luxury,2017,9,167000,Automatic,Hybrid,2.9,Gauteng,Full,3,No,0,Dealership,Grey
SA00324,Mercedes-Benz,Luxury,2021,5,85500,Automatic,Petrol,2.3,Gauteng,Full,1,No,17,Private,Black
SA00352,Audi,Hatchback,2020,6,95000,Manual,Petrol,1.6,Western Cape,Full,2,No,0,Private,Black
SA01254,Volkswagen,SUV,2025,1,40000,Automatic,Petrol,1.8,Northern Cape,Partial,1,No,60,Dealership,White
SA00310,Renault,Hatchback,2021,5,107500,Manual,Petrol,1.6,Gauteng,Full,2,No,18,Dealership,Silver
SA01951,Ford,Luxury,2025,1,7000,Automatic,Petrol,2.7,Northern Cape,Full,1,No,54,Dealership,Silver
SA01132,Toyota,Hatchback,2013,13,240500,Manual,Diesel,1.1,Western Cape,Full,4,No,0,Dealership,Grey
SA01163,Nissan,SUV,2025,1,2500,Automatic,Petrol,1.9,KwaZulu-Natal,Partial,1,No,60,Dealership,Grey
SA02198,Nissan,Bakkie,2024,2,78000,Manual,Diesel,2.8,Gauteng,Full,1,No,53,Dealership,Grey
SA00942,Volkswagen,Bakkie,2024,2,2500,Automatic,Petrol,2.6,Western Cape,Full,3,No,59,Dealership,Silver
SA00976,Volkswagen,SUV,2012,14,182000,Manual,Diesel,2.1,Mpumalanga,Full,3,No,0,Dealership,White
SA01867,Suzuki,Bakkie,2018,8,76500,Manual,Diesel,2.8,Western Cape,Full,2,No,0,Dealership,White
SA00929,Toyota,Sedan,2022,4,102500,Manual,Diesel,2.1,Gauteng,Partial,2,No,17,Private,Grey
SA01579,Ford,Sedan,2018,8,181500,Manual,Hybrid,1.7,Western Cape,None,2,No,0,Private,Silver
SA01061,Suzuki,Sedan,2014,12,208000,Manual,Petrol,2.2,Eastern Cape,Partial,3,No,0,Private,Silver
SA00449,Hyundai,Bakkie,2010,16,350000,Manual,Petrol,2.6,KwaZulu-Natal,Full,4,No,0,Private,Grey
SA01330,Toyota,Bakkie,2016,10,287500,Automatic,Petrol,2.6,Gauteng,Full,3,No,0,Dealership,Silver
SA01666,Renault,Bakkie,2017,9,140500,Automatic,Diesel,3,North West,Full,3,No,0,Dealership,White
SA00269,Nissan,Luxury,2021,5,99500,Manual,Petrol,2.4,Western Cape,Partial,2,Yes,17,Private,Grey
SA01924,Toyota,Hatchback,2021,5,59000,Automatic,Petrol,1.3,Western Cape,Full,2,No,4,Private,White
SA00618,Nissan,Luxury,2024,2,22500,Automatic,Petrol,3.1,Northern Cape,Full,3,No,49,Private,Silver
SA00740,Isuzu,Sedan,2023,3,30500,Manual,Diesel,1.5,Gauteng,Partial,2,No,37,Dealership,Red
SA01226,Volkswagen,Luxury,2008,18,210500,Automatic,Petrol,2.4,KwaZulu-Natal,Partial,4,No,0,Dealership,Red
SA00201,Mercedes-Benz,Luxury,2021,5,52000,Manual,Petrol,2.5,Gauteng,Partial,2,No,15,Dealership,White
SA00404,Kia,Bakkie,2021,5,89500,Automatic,Diesel,2.2,Western Cape,Full,2,No,14,Dealership,Grey
SA00852,Audi,SUV,2017,9,315500,Automatic,Petrol,2.1,Eastern Cape,Partial,4,Yes,0,Dealership,Blue
SA00527,Toyota,Hatchback,2010,16,237500,Manual,Hybrid,1.3,Western Cape,Full,3,No,0,Dealership,Blue
SA02345,Volkswagen,SUV,2015,11,24000,Manual,Diesel,2.6,Mpumalanga,Full,3,No,0,Dealership,Blue
SA01772,BMW,Luxury,2012,14,238000,Manual,Petrol,3,Gauteng,Partial,3,No,0,Private,Silver
SA01432,Ford,Hatchback,2021,5,41000,Manual,Petrol,1.1,Western Cape,Partial,2,No,4,Dealership,White
SA01476,Hyundai,Hatchback,2016,10,95500,Automatic,Petrol,1.4,Gauteng,Full,2,No,0,Private,Grey
SA01643,Volkswagen,Hatchback,2010,16,201500,Manual,Petrol,1,Limpopo,None,3,No,0,Dealership,Grey
SA02410,Toyota,Bakkie,2023,3,78000,Automatic,Diesel,2.6,Free State,Full,3,Yes,47,Private,Silver
SA00328,Volkswagen,Bakkie,2022,4,66000,Manual,Diesel,2.5,Eastern Cape,Partial,3,No,29,Dealership,White
SA01224,Volkswagen,SUV,2016,10,74000,Automatic,Petrol,2.1,Western Cape,Full,3,No,0,Private,White
SA02413,Mercedes-Benz,Luxury,2018,8,162500,Automatic,Petrol,2.5,Western Cape,Full,3,Yes,0,Dealership,Grey
SA00664,Nissan,Luxury,2009,17,315000,Automatic,Petrol,3.1,Western Cape,Full,4,No,0,Dealership,Blue
SA01550,BMW,Luxury,2025,1,2500,Automatic,Petrol,2.3,Eastern Cape,Full,1,No,41,Private,White
SA00964,BMW,Luxury,2012,14,45000,Automatic,Petrol,2.9,Gauteng,Full,3,No,0,Dealership,Silver
SA00652,Ford,Hatchback,2014,12,113000,Automatic,Diesel,1.7,Western Cape,Partial,4,No,0,Dealership,Silver
SA00229,Hyundai,SUV,2023,3,12000,Automatic,Diesel,1.8,Northern Cape,Full,1,No,34,Private,Blue
SA00171,Hyundai,Bakkie,2022,4,48000,Automatic,Diesel,2.7,Mpumalanga,Full,2,No,35,Dealership,Black
SA01495,Volkswagen,Hatchback,2024,2,28000,Manual,Petrol,1,Mpumalanga,Full,2,No,52,Dealership,Grey
SA00053,Nissan,Bakkie,2012,14,162500,Automatic,Diesel,2.6,Gauteng,Full,5,No,0,Dealership,Grey
SA02381,Renault,SUV,2015,11,301500,Automatic,Diesel,2.3,Gauteng,Full,3,No,0,Private,Black
SA01979,Toyota,SUV,2020,6,135000,Automatic,Petrol,2.1,Eastern Cape,Partial,2,No,0,Dealership,White
SA01782,Nissan,Hatchback,2010,16,260500,Automatic,Petrol,0.9,Mpumalanga,Full,4,No,0,Dealership,White
SA01812,Hyundai,Sedan,2016,10,94000,Automatic,Petrol,1.5,Free State,Full,3,No,0,Private,Silver
SA01028,Ford,Hatchback,2022,4,66500,Automatic,Petrol,1,North West,Full,2,Yes,30,Dealership,Black
SA01663,Volkswagen,Hatchback,2022,4,40000,Automatic,Petrol,1.3,KwaZulu-Natal,Partial,2,No,31,Private,White
SA01460,Hyundai,Sedan,2024,2,9000,Manual,Petrol,1.8,Gauteng,Full,2,No,41,Dealership,White
SA02069,Ford,Hatchback,2022,4,62000,Manual,Diesel,1.4,Western Cape,Full,2,No,16,Private,Black
SA01633,Toyota,Bakkie,2021,5,121000,Manual,Diesel,2.4,Northern Cape,Full,3,No,15,Private,Silver
SA02288,Kia,Sedan,2013,13,221000,Manual,Petrol,2.3,Western Cape,Partial,3,No,0,Private,Silver
SA00460,Mercedes-Benz,Luxury,2011,15,8500,Automatic,Petrol,2.7,Gauteng,Full,3,Yes,0,Private,White
SA00145,Mercedes-Benz,Bakkie,2022,4,88000,Manual,Diesel,2.8,KwaZulu-Natal,Full,3,No,25,Dealership,Grey
SA00583,Volkswagen,SUV,2019,7,2500,Automatic,Petrol,2.1,Gauteng,Full,2,No,0,Private,Red
SA01273,Renault,Hatchback,2018,8,88000,Automatic,Petrol,1.1,Western Cape,Partial,2,No,0,Dealership,Silver
SA01221,Toyota,SUV,2024,2,54500,Automatic,Diesel,2.3,Eastern Cape,Full,2,No,55,Dealership,Grey
SA02098,Suzuki,Luxury,2010,16,327500,Automatic,Petrol,2.7,Gauteng,Partial,3,No,0,Private,Silver
SA00959,Volkswagen,Bakkie,2014,12,350000,Manual,Diesel,2.7,Western Cape,Full,3,Yes,0,Private,Silver
SA02299,Hyundai,Sedan,2022,4,87500,Automatic,Petrol,2.1,Gauteng,Partial,2,No,12,Dealership,Red
SA01310,Volkswagen,SUV,2024,2,35500,Automatic,Diesel,1.9,Mpumalanga,Full,1,No,47,Private,Other
SA01498,Kia,Sedan,2022,4,11000,Manual,Petrol,1.5,Mpumalanga,Partial,3,No,29,Dealership,Black
SA01499,Suzuki,Sedan,2010,16,344000,Manual,Petrol,1.9,Eastern Cape,Full,3,No,0,Dealership,Silver
SA01299,Volkswagen,SUV,2018,8,117500,Automatic,Diesel,2.2,Gauteng,Full,2,No,0,Private,White
SA00046,Ford,Sedan,2024,2,74000,Manual,Petrol,1.9,Western Cape,Full,1,No,46,Dealership,White
SA02157,Volkswagen,Bakkie,2020,6,108000,Automatic,Diesel,2.9,Gauteng,Partial,2,No,15,Dealership,Black
SA01275,Toyota,Hatchback,2016,10,146000,Automatic,Petrol,1.6,Mpumalanga,Full,3,No,0,Private,White
SA02044,Ford,SUV,2016,10,303000,Automatic,Diesel,2.1,Limpopo,Full,3,No,0,Private,White
SA01528,Volkswagen,Hatchback,2025,1,21500,Manual,Diesel,1.5,Northern Cape,None,2,No,60,Dealership,Silver
SA00020,Toyota,Sedan,2011,15,200500,Automatic,Petrol,1.7,Eastern Cape,Full,4,No,0,Dealership,Black
SA00904,Ford,SUV,2006,20,252500,Automatic,Petrol,2.3,Gauteng,Full,4,Yes,0,Private,White
SA00301,BMW,Luxury,2015,11,181500,Manual,Petrol,2.8,Gauteng,Partial,3,No,0,Dealership,Black
SA02166,Toyota,Sedan,2010,16,17000,Manual,Petrol,1.7,Western Cape,Partial,4,No,0,Private,White
SA00091,Nissan,Sedan,2014,12,63500,Manual,Petrol,1.9,Western Cape,Full,3,No,0,Dealership,Red
SA01600,Toyota,Hatchback,2009,17,190500,Manual,Petrol,1.3,Eastern Cape,Full,4,No,0,Dealership,Silver
SA01753,Volkswagen,Hatchback,2025,1,2500,Manual,Diesel,1.4,Free State,Full,1,No,60,Dealership,Red
SA01699,Nissan,Hatchback,2017,9,186000,Automatic,Petrol,1.4,Gauteng,Full,2,No,0,Private,Grey
SA00698,Audi,Luxury,2022,4,93000,Manual,Petrol,2.8,KwaZulu-Natal,Full,3,No,25,Private,Silver
SA01465,BMW,Luxury,2017,9,33500,Automatic,Petrol,2.6,Gauteng,Full,3,Yes,0,Private,White
SA01588,Volkswagen,Luxury,2025,1,6500,Automatic,Petrol,2.7,Gauteng,Full,1,No,60,Dealership,White
SA02400,Volkswagen,Sedan,2010,16,210000,Automatic,Petrol,2.3,KwaZulu-Natal,Full,4,No,0,Dealership,Black
SA01747,Renault,Sedan,2021,5,65000,Manual,Diesel,1.7,Free State,Full,1,No,4,Dealership,Red
SA01868,Kia,Sedan,2024,2,13500,Manual,Petrol,2.2,KwaZulu-Natal,Full,1,No,46,Dealership,Black
SA00349,Volkswagen,SUV,2017,9,124000,Automatic,Petrol,2.3,North West,Full,4,No,0,Dealership,White
SA00975,Kia,SUV,2017,9,246000,Manual,Petrol,2.4,Western Cape,Full,3,No,0,Private,White
SA00948,Audi,Luxury,2021,5,13500,Manual,Diesel,2.9,Northern Cape,Partial,4,No,9,Private,Other
SA00054,Volkswagen,SUV,2012,14,278000,Automatic,Petrol,2.3,Gauteng,Full,4,No,0,Private,Red
SA00595,Audi,Luxury,2018,8,187000,Automatic,Petrol,2.5,Gauteng,Full,2,No,0,Private,White
SA01506,Ford,Hatchback,2022,4,15000,Manual,Petrol,1.7,Mpumalanga,Full,4,No,13,Dealership,Black
SA00151,Mercedes-Benz,Luxury,2020,6,134000,Manual,Petrol,2.9,Limpopo,None,3,No,0,Private,Grey
SA00646,Volkswagen,Hatchback,2019,7,144500,Manual,Petrol,1.3,Gauteng,Full,3,No,0,Dealership,Grey
SA02339,Hyundai,Bakkie,2021,5,139000,Automatic,Diesel,2.6,Gauteng,Full,2,No,2,Private,Silver
SA01415,Nissan,SUV,2015,11,91000,Automatic,Diesel,2.3,KwaZulu-Natal,Full,3,No,0,Private,White
SA01088,Kia,Sedan,2015,11,19500,Manual,Petrol,1.6,Gauteng,Partial,3,No,0,Private,Grey
SA01617,Toyota,Sedan,2021,5,70000,Automatic,Hybrid,2.1,KwaZulu-Natal,Full,2,Yes,5,Dealership,White
SA02100,Mercedes-Benz,Luxury,2022,4,114500,Automatic,Petrol,2.7,Mpumalanga,Full,2,No,26,Dealership,Blue
SA01133,BMW,SUV,2016,10,167000,Manual,Diesel,2.2,Northern Cape,Partial,2,No,0,Dealership,Blue
SA00951,Nissan,Hatchback,2023,3,86000,Manual,Petrol,1.4,Gauteng,Partial,1,No,31,Dealership,Black
SA01811,Ford,Hatchback,2016,10,154500,Manual,Petrol,0.9,Western Cape,Partial,2,No,0,Dealership,White
SA01635,Toyota,SUV,2015,11,213000,Automatic,Diesel,2,Western Cape,Partial,3,No,0,Private,Grey
SA01982,Kia,Luxury,2024,2,23500,Automatic,Petrol,2.6,North West,Full,1,No,48,Private,Silver
SA01010,Kia,SUV,2012,14,84500,Automatic,Diesel,2.5,Gauteng,Partial,3,No,0,Private,Silver
SA00335,Hyundai,Hatchback,2010,16,234500,Manual,Diesel,1.5,Eastern Cape,Partial,4,No,0,Private,Silver
SA01494,Hyundai,Sedan,2023,3,78500,Automatic,Diesel,2,North West,Full,2,No,36,Dealership,Red
SA00270,Volkswagen,Sedan,2013,13,202000,Manual,Petrol,1.6,Western Cape,Partial,3,No,0,Private,Silver
SA01838,Kia,SUV,2009,17,132500,Manual,Diesel,2.1,Western Cape,None,4,No,0,Dealership,White
SA00604,Ford,Bakkie,2013,13,264500,Manual,Diesel,2.6,Western Cape,Full,5,No,0,Dealership,Silver
SA01107,Toyota,Hatchback,2015,11,209000,Manual,Diesel,1,KwaZulu-Natal,Full,2,Yes,0,Dealership,White
SA00659,Volkswagen,Bakkie,2010,16,162000,Manual,Diesel,2.3,Eastern Cape,Full,3,No,0,Private,Blue
SA00456,Mercedes-Benz,Luxury,2013,13,238500,Automatic,Petrol,2.9,KwaZulu-Natal,Full,3,Yes,0,Private,Silver
SA01121,Volkswagen,Sedan,2015,11,157000,Manual,Petrol,1.7,Western Cape,Partial,4,No,0,Private,White
SA00977,Toyota,Bakkie,2019,7,128000,Manual,Diesel,2.6,Gauteng,Full,2,No,0,Dealership,Black
