listing_id,price,make,segment,model_year,vehicle_age,mileage,transmission,fuel_type,engine_size,province,service_history,previous_owners,accident_history,warranty_months,seller_type,colour
SA00287,369000,Renault,Luxury,2021,5,108500,Automatic,Petrol,2.9,Gauteng,Full,2,No,8,Dealership,Black
SA00938,424500,Hyundai,Bakkie,2025,1,49500,Manual,Diesel,2.4,Western Cape,Full,2,No,58,Dealership,White
SA00495,121500,Hyundai,SUV,2016,10,139500,Automatic,Petrol,2.1,Gauteng,Full,5,No,0,Private,Silver
SA01212,105000,Toyota,Hatchback,2021,5,107000,Manual,Petrol,1.3,Western Cape,Partial,2,No,19,Private,White
SA00716,504000,Audi,Luxury,2024,2,29000,Manual,Petrol,3.1,Gauteng,Partial,2,No,51,Dealership,Blue
SA01681,157000,Renault,SUV,2015,11,187000,Automatic,Diesel,2.5,Mpumalanga,Full,3,No,0,Dealership,Silver
SA00481,186000,BMW,Luxury,2019,7,166500,Manual,Petrol,2.9,Mpumalanga,Full,2,Yes,0,Private,White
SA00625,199500,Volkswagen,Hatchback,2024,2,27000,Automatic,Petrol,1.4,Gauteng,Full,2,No,46,Private,Black
SA02405,208500,Mercedes-Benz,Luxury,2019,7,188500,Automatic,Petrol,2.5,Gauteng,Partial,2,No,0,Dealership,White
SA02175,57500,Toyota,Hatchback,2013,13,234500,Manual,Petrol,1.4,Western Cape,Partial,3,No,0,Dealership,Grey
SA01040,408000,Ford,Bakkie,2024,2,10000,Automatic,Diesel,2.3,Western Cape,Partial,1,No,37,Dealership,White
SA01620,253500,Volkswagen,Bakkie,2021,5,88000,Automatic,Diesel,2.7,Gauteng,Full,2,No,3,Private,Red
SA01148,592000,Audi,SUV,2024,2,2500,Automatic,Petrol,2.3,Gauteng,Full,1,No,48,Dealership,White
SA01450,154000,Toyota,Bakkie,2018,8,168500,Manual,Diesel,2.6,Eastern Cape,Partial,5,No,0,Dealership,Black
SA00895,166000,Volkswagen,SUV,2021,5,124500,Automatic,Diesel,2.1,KwaZulu-Natal,None,3,No,9,Private,White
SA00123,278000,Ford,Bakkie,2023,3,23500,Manual,Diesel,2.4,Free State,Full,3,No,23,Dealership,Other
SA00431,22000,Nissan,Hatchback,2010,16,141000,Manual,Petrol,1.4,Northern Cape,Full,4,No,0,Dealership,Grey
SA01470,245000,Hyundai,SUV,2022,4,93000,Automatic,Diesel,2.4,North West,Partial,2,No,29,Dealership,Black
SA02187,88000,Kia,Hatchback,2020,6,237500,Manual,Diesel,1.4,Eastern Cape,Full,2,No,13,Private,Blue
SA00823,112000,Renault,Sedan,2018,8,108000,Manual,Petrol,1.8,Western Cape,Full,2,Yes,0,Private,Grey
SA01270,145500,Volkswagen,Hatchback,2023,3,98500,Manual,Petrol,1.3,Gauteng,Partial,4,No,30,Dealership,White
SA01791,550500,Volkswagen,Luxury,2024,2,16000,Manual,Hybrid,2.4,Gauteng,Full,1,No,60,Private,Red
SA02136,261000,Toyota,SUV,2022,4,80000,Automatic,Diesel,2.1,Gauteng,Partial,2,No,11,Private,Grey
SA01878,64500,Renault,Sedan,2014,12,33500,Manual,Petrol,2,Eastern Cape,Full,5,No,0,Private,White
SA01614,42500,Ford,Hatchback,2011,15,174000,Automatic,Petrol,1.1,Western Cape,Partial,3,No,0,Private,White
SA01776,115500,Toyota,Bakkie,2014,12,92500,Automatic,Diesel,2.5,Gauteng,Full,3,No,0,Dealership,White
SA01336,291500,Renault,Bakkie,2024,2,47500,Manual,Diesel,2.4,Mpumalanga,None,2,No,53,Dealership,White
SA00392,275000,Volkswagen,Bakkie,2021,5,135000,Manual,Diesel,2.7,Gauteng,Partial,2,No,6,Private,Blue
SA01308,272500,Nissan,SUV,2021,5,105000,Automatic,Diesel,2.4,Gauteng,Full,4,No,22,Dealership,Blue
SA01854,22000,Renault,Hatchback,2008,18,143000,Manual,Petrol,1.5,KwaZulu-Natal,Full,4,No,0,Dealership,Silver
SA00442,126000,Suzuki,Bakkie,2013,13,303000,Manual,Diesel,2.3,Western Cape,Full,4,Yes,0,Dealership,White
SA01513,141000,Toyota,Bakkie,2014,12,264000,Automatic,Diesel,2.6,Eastern Cape,Full,3,No,0,Dealership,Red
SA02111,529500,Audi,Luxury,2022,4,51000,Automatic,Petrol,2.7,Western Cape,Partial,2,No,17,Dealership,White
SA01694,411500,Hyundai,Luxury,2025,1,14500,Manual,Petrol,3,Gauteng,Full,1,No,53,Dealership,Black
SA01372,72000,Volkswagen,Hatchback,2015,11,57000,Manual,Petrol,1.3,Eastern Cape,Partial,2,No,0,Private,Grey
SA00376,448000,Ford,SUV,2025,1,6000,Automatic,Petrol,2.9,Western Cape,Full,2,No,58,Dealership,Other
SA00209,188500,BMW,Luxury,2015,11,80000,Automatic,Petrol,2.6,KwaZulu-Natal,Full,3,No,0,Private,White
SA01329,320000,Volkswagen,SUV,2022,4,105500,Automatic,Petrol,2.5,Gauteng,Full,4,No,25,Dealership,Black
SA00665,94000,Ford,Luxury,2014,12,180500,Automatic,Petrol,2.6,Western Cape,Full,4,No,0,Private,White
SA02398,25000,Renault,Hatchback,2007,19,107500,Automatic,Petrol,1.4,Gauteng,Full,6,No,0,Dealership,White
SA01462,87000,Hyundai,Bakkie,2018,8,193000,Manual,Diesel,3,Western Cape,None,4,No,0,Dealership,White
SA01919,100000,Volkswagen,Luxury,2014,12,202000,Automatic,Petrol,2.2,Gauteng,Full,5,No,0,Dealership,Silver
SA00421,202000,Ford,Hatchback,2025,1,35500,Manual,Petrol,1.1,Western Cape,Full,2,No,60,Dealership,Black
SA01781,166500,Toyota,Sedan,2019,7,138000,Manual,Petrol,1.8,Gauteng,Full,4,No,0,Private,Red
SA01502,684500,BMW,Luxury,2025,1,8500,Automatic,Hybrid,2.8,Western Cape,Full,2,No,60,Private,White
SA00248,36500,Renault,Hatchback,2014,12,269000,Manual,Petrol,0.9,Gauteng,Full,3,No,0,Private,White
SA01542,91000,Toyota,Bakkie,2014,12,318000,Automatic,Diesel,2.4,Eastern Cape,Partial,4,No,0,Private,Silver
SA01830,318500,Toyota,Bakkie,2023,3,53500,Automatic,Diesel,2.5,Gauteng,Full,3,No,39,Private,Red
SA00037,196000,Hyundai,Hatchback,2024,2,57000,Manual,Petrol,1.2,Western Cape,Partial,1,No,45,Dealership,Silver
SA00141,259000,Kia,SUV,2022,4,2500,Automatic,Diesel,2.5,Northern Cape,Full,2,No,6,Dealership,Silver
SA00726,215500,Nissan,Hatchback,2024,2,57500,Automatic,Petrol,1.4,KwaZulu-Natal,Partial,4,No,53,Private,White
SA00858,125000,Nissan,Hatchback,2020,6,68000,Automatic,Petrol,0.9,Gauteng,Full,4,No,0,Dealership,Red
SA01083,256500,Toyota,SUV,2020,6,6000,Automatic,Petrol,2.5,Gauteng,Full,4,No,0,Dealership,White
SA01759,141000,Volkswagen,Bakkie,2016,10,177000,Automatic,Diesel,2.7,KwaZulu-Natal,Partial,3,No,0,Private,Black
SA02130,31500,Volkswagen,Luxury,2011,15,312000,Automatic,Petrol,2.7,Northern Cape,Partial,4,Yes,0,Private,Grey
SA00470,39500,Ford,Hatchback,2011,15,107000,Manual,Petrol,1.3,Mpumalanga,Full,3,Yes,0,Private,White
SA00875,142500,Volkswagen,Sedan,2020,6,83500,Manual,Petrol,2,Limpopo,Full,4,No,8,Private,Black
SA01289,202500,Volkswagen,Hatchback,2024,2,2500,Automatic,Petrol,1.4,KwaZulu-Natal,Full,1,No,41,Dealership,Grey
SA01185,78500,Hyundai,Sedan,2015,11,128000,Manual,Petrol,1.7,Western Cape,Full,3,No,0,Dealership,Silver
SA02330,55500,Volkswagen,SUV,2010,16,350000,Automatic,Petrol,2.4,Gauteng,Full,4,No,0,Private,White
SA01236,49000,Toyota,Sedan,2011,15,253500,Automatic,Diesel,1.8,Northern Cape,Partial,3,No,0,Dealership,Black
SA01407,45000,Toyota,Hatchback,2015,11,211000,Manual,Petrol,1.6,Western Cape,Partial,3,No,0,Private,White
SA00744,80000,Hyundai,Hatchback,2017,9,86500,Manual,Petrol,1.6,Gauteng,Full,3,No,0,Dealership,Silver
SA00317,70500,Kia,Luxury,2011,15,105000,Automatic,Petrol,3.1,Gauteng,Full,3,No,0,Dealership,White
SA02020,93500,Ford,Sedan,2015,11,101500,Automatic,Petrol,1.9,Gauteng,Full,3,No,0,Dealership,Red
SA01096,152500,Toyota,Sedan,2020,6,105500,Automatic,Petrol,1.9,Free State,Full,2,No,0,Private,Other
SA01994,73000,Mercedes-Benz,Sedan,2011,15,182500,Manual,Petrol,1.9,KwaZulu-Natal,Full,4,No,0,Dealership,Silver
SA00524,195500,Kia,Hatchback,2025,1,3000,Manual,Petrol,1.5,Gauteng,Full,1,Yes,53,Dealership,Other
SA01145,94000,Toyota,Hatchback,2017,9,177000,Manual,Petrol,0.9,Western Cape,Full,3,No,0,Dealership,Grey
SA00657,230500,Renault,SUV,2019,7,33000,Automatic,Petrol,3.1,KwaZulu-Natal,Partial,2,No,5,Dealership,Silver
SA01756,120000,Toyota,Hatchback,2019,7,2500,Manual,Petrol,0.9,KwaZulu-Natal,Full,2,No,0,Private,Red
SA00444,204000,Volkswagen,Luxury,2020,6,22500,Automatic,Petrol,2.6,Gauteng,Partial,3,No,4,Dealership,Silver
SA00708,223000,Volkswagen,Luxury,2019,7,65500,Automatic,Petrol,2.5,Western Cape,None,2,No,0,Dealership,White
SA00563,74000,Suzuki,SUV,2013,13,77500,Automatic,Diesel,1.9,Free State,None,4,No,0,Dealership,Black
SA00345,163500,Volkswagen,Sedan,2022,4,105000,Manual,Petrol,2.1,Gauteng,Partial,2,No,17,Dealership,Silver
SA01697,97000,Renault,SUV,2015,11,261000,Manual,Petrol,2.2,Western Cape,Full,3,No,0,Dealership,White
SA02227,92500,Nissan,Bakkie,2013,13,212000,Manual,Diesel,2.9,Gauteng,Full,3,No,0,Dealership,Blue
SA02219,115000,Ford,SUV,2015,11,155000,Automatic,Petrol,2.3,Western Cape,Partial,3,No,0,Dealership,Blue
SA00154,173500,Suzuki,SUV,2022,4,88000,Automatic,Petrol,1.9,KwaZulu-Natal,Full,2,No,30,Dealership,Other
SA02212,163500,BMW,Luxury,2016,10,282000,Automatic,Petrol,2.7,KwaZulu-Natal,Full,3,Yes,0,Dealership,White
SA00135,111500,Ford,SUV,2014,12,75000,Manual,Diesel,2.2,KwaZulu-Natal,Partial,3,No,0,Private,Silver
SA00245,100000,Toyota,Sedan,2016,10,158000,Automatic,Petrol,1.5,North West,Partial,2,Yes,0,Private,Red
SA02045,83000,Kia,SUV,2011,15,252500,Manual,Diesel,2.7,Gauteng,Full,6,No,0,Dealership,Blue
SA01674,61500,Toyota,Bakkie,2012,14,197000,Manual,Diesel,2.2,Gauteng,Full,4,Yes,0,Dealership,Silver
SA00832,545500,BMW,Luxury,2025,1,83000,Manual,Petrol,2.5,Western Cape,Partial,1,No,53,Dealership,Black
SA00677,43500,Renault,SUV,2014,12,261000,Manual,Petrol,2,Gauteng,Full,4,No,0,Private,Grey
SA00088,96000,Mercedes-Benz,Luxury,2013,13,153500,Automatic,Petrol,2.8,Gauteng,Partial,4,No,0,Private,White
SA00865,267500,Toyota,SUV,2019,7,120000,Manual,Diesel,2.7,Gauteng,Full,2,No,0,Dealership,Silver
SA02376,230000,Toyota,Luxury,2022,4,117000,Automatic,Petrol,2.4,Northern Cape,Full,2,No,14,Dealership,Grey
SA00560,302500,Audi,Luxury,2017,9,87500,Automatic,Petrol,2.2,Gauteng,Full,3,No,0,Private,White
SA00724,141500,Volkswagen,Hatchback,2021,5,15500,Automatic,Petrol,1.8,Gauteng,Full,3,No,23,Dealership,White
SA01934,34000,Renault,Hatchback,2014,12,100000,Automatic,Petrol,1.2,Gauteng,None,4,Yes,0,Private,Grey
SA01442,57500,BMW,Sedan,2010,16,305000,Automatic,Petrol,1.7,Free State,Full,3,No,0,Dealership,White
SA00416,135500,BMW,Luxury,2015,11,19000,Automatic,Petrol,2.9,Limpopo,Full,3,No,0,Dealership,Blue
SA01156,133500,Volkswagen,SUV,2017,9,212500,Automatic,Diesel,2.1,KwaZulu-Natal,Full,3,No,0,Private,White
SA00607,81500,Volkswagen,Sedan,2013,13,234000,Automatic,Petrol,1.9,Western Cape,Full,5,No,0,Dealership,Black
SA01144,190500,Toyota,Bakkie,2017,9,173500,Automatic,Diesel,2.8,Western Cape,Full,3,No,0,Dealership,Grey
SA01312,27500,Suzuki,Hatchback,2011,15,255000,Manual,Petrol,1.2,Gauteng,Partial,3,No,0,Private,White
SA00750,293000,BMW,SUV,2021,5,25000,Automatic,Petrol,2.1,Limpopo,Partial,3,No,6,Private,White
SA01401,123500,Ford,Hatchback,2019,7,76000,Automatic,Petrol,1.3,Gauteng,Full,2,No,0,Dealership,Black
SA00530,100500,Kia,Bakkie,2013,13,321500,Automatic,Petrol,2.6,Gauteng,Full,4,No,0,Dealership,Black
SA01986,80500,Isuzu,Sedan,2013,13,95500,Manual,Petrol,1.7,Gauteng,Full,3,No,0,Private,Grey
SA02290,70000,Renault,Bakkie,2014,12,229500,Manual,Diesel,2.9,Mpumalanga,Full,3,Yes,0,Dealership,Red
SA00762,259500,Toyota,Bakkie,2022,4,57500,Automatic,Diesel,2.8,Gauteng,None,2,No,11,Dealership,Grey
SA01521,69000,Ford,Bakkie,2013,13,299500,Manual,Diesel,2.9,Gauteng,Partial,4,No,0,Dealership,Red
SA00570,116500,Volkswagen,Luxury,2015,11,154500,Automatic,Petrol,2.8,Western Cape,Partial,3,No,0,Dealership,White
SA00458,250000,Toyota,Hatchback,2025,1,7500,Automatic,Petrol,1.1,North West,Full,2,No,60,Dealership,Other
SA01072,57500,Volkswagen,Sedan,2013,13,126000,Manual,Petrol,1.8,Gauteng,Partial,4,No,0,Private,Blue
SA00759,29000,Volkswagen,Hatchback,2009,17,61000,Automatic,Petrol,1.1,Limpopo,Partial,4,No,0,Private,Silver
SA00972,31500,Hyundai,Luxury,2007,19,350000,Automatic,Diesel,2.7,KwaZulu-Natal,Full,4,Yes,0,Dealership,White
SA01373,132000,Ford,Sedan,2020,6,117500,Automatic,Petrol,1.6,Limpopo,Full,3,No,0,Private,Black
SA00010,53000,Volkswagen,Hatchback,2014,12,219500,Manual,Diesel,1.8,Gauteng,None,3,No,0,Dealership,Black
SA00215,142500,Kia,SUV,2017,9,122000,Automatic,Diesel,2.3,Gauteng,Partial,3,No,0,Private,White
SA00907,329000,Ford,Luxury,2018,8,2500,Automatic,Petrol,3,Gauteng,Full,2,No,0,Dealership,White
SA01960,72000,Hyundai,Sedan,2017,9,204000,Automatic,Petrol,1.8,Western Cape,Full,2,No,0,Private,Silver
SA00917,111000,Toyota,Hatchback,2022,4,95000,Manual,Diesel,1.4,Western Cape,Partial,4,No,21,Private,Black
SA01849,96000,Hyundai,Sedan,2016,10,93000,Manual,Petrol,1.6,Western Cape,Partial,3,No,0,Private,White
SA00851,145000,Toyota,Hatchback,2022,4,53500,Automatic,Petrol,1.4,Gauteng,Partial,2,No,30,Dealership,White
SA00697,232500,Renault,Bakkie,2020,6,41500,Automatic,Diesel,2.5,Western Cape,Full,3,No,12,Dealership,Black
SA00319,56000,Hyundai,Sedan,2013,13,312500,Automatic,Petrol,1.9,Limpopo,Full,3,No,0,Private,White
SA01152,194500,Nissan,Hatchback,2025,1,11000,Manual,Petrol,1.4,Gauteng,Full,1,No,52,Private,Grey
SA02366,82000,Kia,Hatchback,2019,7,70500,Automatic,Petrol,1.3,Gauteng,None,3,No,0,Dealership,White
SA02021,65000,Isuzu,Luxury,2009,17,47000,Automatic,Diesel,2.4,KwaZulu-Natal,Full,4,No,0,Private,Blue
SA01918,81000,Toyota,SUV,2015,11,151000,Manual,Diesel,2,Gauteng,Full,3,No,0,Private,Black
SA02084,57000,Suzuki,Hatchback,2014,12,187000,Manual,Diesel,0.9,KwaZulu-Natal,Full,3,Yes,0,Dealership,Grey
SA01318,139500,Ford,SUV,2016,10,166000,Automatic,Petrol,2.5,Gauteng,Partial,4,No,0,Private,Silver
SA02059,52500,Toyota,Hatchback,2017,9,200000,Automatic,Petrol,1.3,Eastern Cape,Full,4,No,0,Private,White
SA01444,150500,Toyota,Sedan,2020,6,35500,Manual,Petrol,1.9,KwaZulu-Natal,Full,3,No,1,Dealership,White
SA00337,356000,Volkswagen,Sedan,2024,2,2500,Manual,Petrol,1.7,Western Cape,Full,2,No,56,Dealership,Black
SA02137,127000,Toyota,Sedan,2018,8,72500,Manual,Diesel,1.8,Gauteng,Full,2,No,0,Dealership,Silver
SA01562,225500,Nissan,Sedan,2023,3,64000,Manual,Petrol,2,KwaZulu-Natal,Full,2,No,52,Dealership,Blue
SA01914,282000,Nissan,Bakkie,2022,4,128500,Manual,Diesel,3.2,Gauteng,Partial,4,No,9,Private,Red
SA02003,70500,Toyota,SUV,2010,16,156000,Manual,Diesel,1.9,Western Cape,Full,5,Yes,0,Private,Grey
SA00200,55000,Nissan,Luxury,2010,16,167000,Automatic,Petrol,2.6,Gauteng,Partial,4,Yes,0,Dealership,Black
SA01736,292500,BMW,Luxury,2019,7,156500,Automatic,Petrol,2.9,Gauteng,None,2,No,0,Private,Black
SA01748,288000,Toyota,Bakkie,2021,5,106000,Manual,Hybrid,2.5,Gauteng,Full,3,No,11,Private,Silver
SA01575,69000,Nissan,Sedan,2014,12,157500,Automatic,Petrol,1.7,Western Cape,Full,4,No,0,Private,White
SA01400,125500,Kia,Sedan,2018,8,80500,Automatic,Petrol,1.4,Limpopo,Full,3,No,0,Private,Blue
SA02401,215500,Suzuki,Sedan,2024,2,2500,Manual,Petrol,1.9,Gauteng,Partial,2,No,41,Dealership,Other
SA01206,230000,Volkswagen,SUV,2021,5,117000,Automatic,Diesel,2,Northern Cape,Full,2,No,0,Dealership,White
SA02377,42500,Volkswagen,Sedan,2009,17,305000,Manual,Petrol,1.8,Gauteng,Full,4,No,0,Dealership,Blue
SA00168,92000,Volkswagen,SUV,2014,12,79000,Automatic,Petrol,2.5,KwaZulu-Natal,None,3,No,0,Private,Blue
SA01970,386000,Isuzu,SUV,2025,1,20000,Manual,Petrol,2,Gauteng,Full,2,No,60,Dealership,Grey
SA01930,304000,Nissan,SUV,2022,4,9500,Manual,Hybrid,1.8,Gauteng,Partial,3,No,19,Dealership,Silver
SA02011,119000,Suzuki,Luxury,2015,11,182000,Automatic,Petrol,2.9,Gauteng,Full,4,No,0,Dealership,Red
SA01240,501500,Volkswagen,Luxury,2023,3,2500,Automatic,Petrol,2.7,Western Cape,Full,1,No,35,Private,White
SA01573,384500,Volkswagen,SUV,2024,2,62000,Automatic,Petrol,2.7,Western Cape,Full,1,Yes,42,Dealership,Silver
SA01900,108000,Hyundai,Sedan,2017,9,220000,Manual,Petrol,1.5,Gauteng,Full,3,No,0,Dealership,Blue
SA00006,25500,Toyota,Hatchback,2011,15,299500,Manual,Petrol,1.1,Western Cape,Partial,3,No,0,Dealership,Silver
SA00521,121000,Volkswagen,SUV,2015,11,198000,Manual,Diesel,2.1,KwaZulu-Natal,Full,3,Yes,0,Dealership,Blue
SA00190,230000,Ford,Hatchback,2025,1,2500,Manual,Petrol,1.3,Gauteng,Full,1,No,60,Dealership,Blue
SA01257,59000,Volkswagen,SUV,2010,16,271000,Automatic,Petrol,2.7,Western Cape,Full,4,Yes,0,Dealership,White
SA00102,109500,Ford,SUV,2013,13,175000,Automatic,Diesel,2.4,Gauteng,Full,3,No,0,Dealership,White
SA01802,75500,Suzuki,SUV,2013,13,350000,Manual,Petrol,2.2,Gauteng,Partial,3,No,0,Dealership,Silver
SA00398,73500,Hyundai,SUV,2009,17,188000,Automatic,Petrol,2.4,Gauteng,Full,4,No,0,Dealership,Black
SA01157,826000,Audi,Luxury,2025,1,12000,Automatic,Petrol,2.6,Gauteng,Full,1,No,57,Private,Blue
SA01477,58000,BMW,Luxury,2008,18,301500,Automatic,Diesel,2.5,Western Cape,Partial,4,No,0,Private,White
SA02357,319000,Volkswagen,SUV,2024,2,8500,Automatic,Diesel,2.1,Western Cape,Partial,3,No,41,Private,Black
SA00588,66000,Hyundai,SUV,2011,15,316000,Automatic,Petrol,2.2,Free State,Full,5,No,0,Dealership,White
SA00820,529000,Toyota,SUV,2025,1,2500,Automatic,Diesel,2.2,KwaZulu-Natal,Partial,1,No,39,Dealership,Black
SA00083,124000,Mercedes-Benz,Luxury,2010,16,314000,Automatic,Petrol,2.7,Western Cape,Partial,4,No,0,Dealership,Blue
SA00041,100500,Hyundai,Luxury,2013,13,134000,Automatic,Diesel,2.6,Gauteng,Full,3,No,0,Private,Other
SA01817,627500,Mercedes-Benz,Luxury,2025,1,9500,Manual,Diesel,2.3,Western Cape,Full,2,No,54,Dealership,Silver
SA00897,115500,Ford,Hatchback,2021,5,69000,Manual,Petrol,1.4,KwaZulu-Natal,Partial,2,No,8,Private,Grey
SA00702,78500,Toyota,SUV,2012,14,221500,Automatic,Petrol,2.3,Gauteng,Partial,6,No,0,Dealership,White
SA01011,217500,Nissan,Luxury,2020,6,81500,Manual,Petrol,2.3,KwaZulu-Natal,Full,2,No,6,Private,Grey
SA01906,22000,Toyota,Hatchback,2006,20,350000,Manual,Petrol,1.3,KwaZulu-Natal,Full,4,No,0,Private,Silver
SA02305,160000,Ford,Hatchback,2023,3,40000,Manual,Petrol,1.5,KwaZulu-Natal,Full,2,No,37,Private,Red
SA02126,85500,Toyota,Hatchback,2016,10,77000,Manual,Petrol,1.5,Eastern Cape,Full,4,No,0,Dealership,Other
SA00764,200500,BMW,Sedan,2018,8,118000,Manual,Diesel,2,Western Cape,Full,3,No,0,Dealership,White
SA00243,108000,Toyota,Sedan,2016,10,75000,Automatic,Petrol,1.9,Gauteng,Full,3,No,0,Private,White
SA02240,142000,Toyota,Luxury,2018,8,120000,Automatic,Petrol,2.4,Western Cape,Partial,2,Yes,0,Dealership,Red
SA01909,99500,Kia,Sedan,2019,7,131500,Manual,Petrol,2.2,Mpumalanga,Partial,3,Yes,0,Private,Grey
SA01481,104500,Mercedes-Benz,Luxury,2010,16,252500,Automatic,Petrol,2.3,Gauteng,Full,6,No,0,Dealership,White
SA01512,125000,Kia,Hatchback,2021,5,11500,Manual,Petrol,1.3,Free State,Full,1,No,7,Dealership,Silver
SA00078,49500,Kia,Sedan,2011,15,155500,Automatic,Petrol,1.7,North West,None,4,No,0,Private,Black
SA01936,123000,Volkswagen,Hatchback,2020,6,2500,Manual,Petrol,1.4,Western Cape,Partial,3,No,8,Dealership,Other
SA01437,221500,BMW,Hatchback,2022,4,50000,Manual,Petrol,1.1,Gauteng,Full,6,No,27,Dealership,Black
SA01063,90000,Volkswagen,Bakkie,2015,11,350000,Manual,Diesel,2.8,Free State,Full,3,No,0,Private,Blue
SA00486,125000,Ford,SUV,2016,10,186000,Manual,Diesel,1.7,Western Cape,Partial,4,No,0,Private,Black
SA00375,150500,Nissan,Sedan,2020,6,37500,Manual,Petrol,2.3,KwaZulu-Natal,Partial,3,No,4,Private,White
SA01282,88500,Suzuki,Hatchback,2016,10,23500,Manual,Petrol,1.5,KwaZulu-Natal,Partial,3,No,0,Dealership,White
SA02308,66500,Volkswagen,Sedan,2015,11,153000,Manual,Petrol,1.1,Western Cape,Full,2,No,0,Private,Black
SA00723,230000,BMW,Sedan,2017,9,120500,Automatic,Petrol,1.8,Gauteng,Full,3,No,0,Dealership,White
SA01455,252000,BMW,Hatchback,2023,3,22500,Manual,Petrol,1.1,North West,Full,1,No,28,Dealership,White
SA01928,23500,Renault,Hatchback,2007,19,157000,Manual,Petrol,1.2,Western Cape,Partial,4,No,0,Dealership,Grey
SA01624,199500,Suzuki,SUV,2020,6,200500,Automatic,Petrol,2.2,Gauteng,Full,2,No,0,Private,White
SA01210,335000,BMW,Sedan,2020,6,123000,Manual,Petrol,1.7,Western Cape,Full,2,No,14,Private,Silver
SA01501,176000,Mercedes-Benz,Luxury,2015,11,307000,Automatic,Petrol,2.5,KwaZulu-Natal,Full,4,No,0,Dealership,Grey
SA01347,361500,BMW,Bakkie,2023,3,88500,Automatic,Diesel,2.4,Gauteng,Partial,1,No,33,Private,Black
SA01327,107500,Volkswagen,Bakkie,2014,12,261000,Manual,Diesel,2.7,Western Cape,Full,4,No,0,Dealership,White
SA02210,214500,Ford,SUV,2020,6,85000,Manual,Diesel,2.3,North West,Full,2,No,12,Dealership,Black
SA00617,137000,Hyundai,SUV,2017,9,110000,Automatic,Petrol,2.1,Mpumalanga,Full,2,No,0,Private,White
SA00144,349000,Kia,Bakkie,2023,3,94000,Automatic,Diesel,2.5,Gauteng,Full,4,No,48,Private,Black
SA00264,132500,Audi,Luxury,2012,14,30000,Automatic,Petrol,2.9,Eastern Cape,Partial,3,No,0,Dealership,White
SA00846,449500,BMW,SUV,2022,4,16500,Automatic,Diesel,2.7,Western Cape,Partial,1,No,26,Private,White
SA02289,63000,Suzuki,SUV,2014,12,350000,Manual,Diesel,1.8,Free State,Full,3,No,0,Dealership,Silver
SA00747,341500,Volkswagen,Bakkie,2024,2,55500,Manual,Petrol,2.2,KwaZulu-Natal,Full,2,No,48,Private,Black
SA01703,142500,BMW,Hatchback,2016,10,62000,Manual,Petrol,1.5,Eastern Cape,Full,3,No,0,Private,White
SA01616,105000,Kia,Hatchback,2019,7,49500,Automatic,Petrol,1.3,Western Cape,Full,3,No,0,Dealership,Silver
SA02257,117500,Isuzu,Hatchback,2021,5,79000,Automatic,Petrol,1.4,Western Cape,Full,2,Yes,9,Dealership,White
SA00512,87500,Nissan,SUV,2013,13,298500,Automatic,Diesel,2.7,Gauteng,Full,4,No,0,Private,Silver
SA00629,77500,Audi,Luxury,2011,15,350000,Automatic,Petrol,3.1,Western Cape,Full,3,No,0,Private,Other
